name,address_1,address_2,city,state,zip,phone,latitude,longitude,category,website,,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close,daycode3,day3_open,day3_close,daycode4,day4_open,day4_close,daycode5,day5_open,day5_close,daycode6,day6_open,day6_open,daycode7,day7_open,day7_close
H.O.P.E. Helping Other People Excel,11163 S. Central Avenue,,Los Angeles,CA,90059,(323)567-8524,33.933305,-118.254577,Food Pantry,,,Fri,900,1100,,,,,,,,,,,,,,,,,,
Hank Lacayo Youth & Family Center,7915 Van Nuys Boulevard,,Panorama City,CA,91402,(818)644-9970,34.2147105,-118.4490873,Food Pantry,,,Thu,1600,1800,,,,,,,,,,,,,,,,,,
Harbor Christian Center,1602 N. Wilmington Blvd,,Wilmington,CA,90744,(310)835-5661,33.7950143,-118.2748789,Food Pantry,,,Wed1st,1800,1930,Wed3rd,1800,1930,,,,,,,,,,,,,,,
Hawaiian Gardens Food Bank,21411 Norwalk Blvd.,,Hawaiian Gardens,CA,90716,(562)860-9097,33.8348574,-118.0723646,Food Pantry,,,Wed,1400,1800,Thu,930,1530,,,,,,,,,,,,,,,
Heavenly Vision Church of God in Christ,841 W. 85th Street,,Los Angeles,CA,90044,(323)245-2651,33.9614457,-118.288536,Food Pantry,,,Fri4th,1200,1400,,,,,,,,,,,,,,,,,,
"Helping Hands, Caring Hearts Ministry",1750 W. Holt Avenue,,Pomona,CA,91768,(909)620-1601,34.0609388,-117.7800069,Food Pantry,,,Sun,1630,1730,,,,,,,,,,,,,,,,,,
"Helping In Services, Inc.",1535 Gundry Avenue,,Long Beach,CA,90813,(562)591-8778,33.7868869,-118.1744206,Food Pantry,,,Tue,930,1200,Tue,1330,1530,Thu,930,1200,Thu,1330,1530,,,,,,,,,
His Helping Hands,25501 Oak Street,,Lomita,CA,90717,(310)326-2757,33.7919156,-118.3176793,Food Pantry,,,Thu2nd,1800,1900,Thu4th,1800,1900,,,,,,,,,,,,,,,
HOAP Inc.,5014 S. Avalon Boulevard,,Los Angeles,CA,90011,(323)232-7256,33.9970819,-118.2650011,Food Pantry,,,Thu,930,1130,,,,,,,,,,,,,,,,,,
Hollywood Community Housing,5020 W. Santa Monica Boulevard,,Hollywood,CA,90029,(323)469-0710,34.0904073,-118.2988528,Food Pantry,,,Thu,1530,1730,Fri,1130,1330,,,,,,,,,,,,,,,
Hollywood Lutheran Church,1733 N. New Hampshire Ave.,,Hollywood,CA,90027,(323)667-1212,34.102841,-118.2936174,Food Pantry,,,Wed,1100,1230,,,,,,,,,,,,,,,,,,
Hollywood West Tenant Action Committee,5823 Willoughby Avenue,,Los Angeles,CA,90038,(323)461-4957,34.0873928,-118.3231596,Food Pantry,,,Fri3rd,1600,1800,,,,,,,,,,,,,,,,,,
Holy Cross Center,104 W. 47th Place,,Los Angeles,CA,90037,(323)232-3333,33.9997088,-118.2742456,Food Pantry,,,Mon,900,1100,Wed,900,1100,Fri,900,1100,,,,,,,,,,,,
Holy Family Giving Bank,1524 Fremont Avenue,,South Pasadena,CA,91030,(626)403-6140,34.1080192,-118.1527363,Food Pantry,,,Mon,900,1045,,,,,,,,,,,,,,,,,,
Holy Trinity Church of God in Christ,9706 S. Broadway Boulevard,,Los Angeles,CA,90003,(323)777-2965,33.9481075,-118.2778577,Food Pantry,,,Sat,1200,1400,,,,,,,,,,,,,,,,,,
Hope Chapel Foursquare Church,2420 Pacific Coast Highway,,Hermosa Beach,CA,90254,(310)374-4673,33.8715292,-118.3942418,Food Pantry,,,Wed,900,1200,Wed,1300,1600,Fri,900,1200,Fri,1300,1600,,,,,,,,,
Hope Chapel Lancaster,6015 W Avenue J8,,Quartz Hill,CA,93536,(661)943-1074,34.6826776,-118.2371694,Food Pantry,,,Fri,930,1100,,,,,,,,,,,,,,,,,,
Hope International Bible Fellowship,4903 Fountain Avenue,,Los Angeles,CA,90029,(323)663-9394,34.0955984,-118.296546,Food Pantry,,,Sat2nd,900,1000,,,,,,,,,,,,,,,,,,
Houses of Light Church Corporation,19359 Londelius Street,,Northridge,CA,91324,(818)998-2931,34.2304245,-118.5557989,Food Pantry,,,Sat,700,730,,,,,,,,,,,,,,,,,,
Hurting & Hungry,8107 Loyola Boulevard,,Los Angeles,CA,90045,(213)268-4820,33.9643479,-118.416965,Food Pantry,,,Tue,1000,1200,,,,,,,,,,,,,,,,,,
Iglesia Bautista Renacer,15950 Chatsworth St.,,Granada Hills,CA,91344,(818)277-9982,34.264075,-118.479712,Food Pantry,,,Wed,1600,1700,,,,,,,,,,,,,,,,,,
Iglesia Cristiana El Shaddai USA,5518 S. Broadway,,Los Angeles,CA,90037,(323)235-5988,33.9921017,-118.2779982,Food Pantry,,,Fri,1930,2100,,,,,,,,,,,,,,,,,,
Iglesia de la Comunidad Presbyterian Church,115 N. Ave 53,,Los Angeles,CA,90042,(323)257-4352,34.1073922,-118.1981957,Food Pantry,,,Thu1st,1030,1130,Thu3rd,1030,1130,,,,,,,,,,,,,,,
Iglesia Evangelica Camino de Santidad,958 N. Maclay Ave,,San Fernando,CA,91340,(818)898-3848,34.2931026,-118.4273834,Food Pantry,,,Mon,1900,2100,,,,,,,,,,,,,,,,,,
Iglesia Fuente de Vida Community Center,11134 Saticoy Street,,Sun Valley,CA,91352,(818)765-0705,34.2082145,-118.3738402,Food Pantry,,,Sun,1230,1300,Tue,900,1000,Wed,900,1000,,,,,,,,,,,,
Iglesia la Puerta Abierta,5017 E. Olympic Boulevard,,Los Angeles,CA,90022,(323)261-8397,34.0173349,-118.1621792,Food Pantry,,,Wed,1900,1930,,,,,,,,,,,,,,,,,,
Iglesia Macedonia Defenders of the Christian Faith,9228 S. Central Avenue,,Los Angeles,CA,90002,(323)804-6615,33.952555,-118.255771,Food Pantry,,,Tue,1900,2000,,,,,,,,,,,,,,,,,,
Iglesia Pentecostes Roca de Salvacion,122 South Evergreen Avenue,,Los Angeles,CA,90033,(323)832-5313,34.0396969,-118.202409,Food Pantry,,,Sun,1300,1400,Sat,1500,1600,,,,,,,,,,,,,,,
Iglesia Pentecostes Templo Calvario,8824 Long Beach Boulevard,,South Gate,CA,90280,(310)713-1428,33.956026,-118.220037,Food Pantry,,,Sun,1300,1500,Tue,1900,2100,,,,,,,,,,,,,,,
Iglesia Piedra Angular,2110 W. Francisquito Avenue,,West Covina,CA,91790,(626)833-8141,34.0597225,-117.9630247,Food Pantry,,,Thu2nd,1930,2015,,,,,,,,,,,,,,,,,,
Iglesia Un Renuevo,13216 Fairford Ave.,,Norwalk,CA,90650,(562)743-4611,33.9109635,-118.0946044,Food Pantry,,,Fri3rd,1500,2000,,,,,,,,,,,,,,,,,,
Imani Economic & Community Development Corporation,510 W. Monterey Avenue,,Pomona,CA,91768,(909)620-9161,34.0602663,-117.7569861,Food Pantry,,,Sat3rd,1100,1230,,,,,,,,,,,,,,,,,,
Imani Unidos A.I.D.S. Project,1713 W. 108th Street,,Los Angeles,CA,90047,(323)754-8453,33.9385863,-118.3074812,Food Pantry,,,Tue2nd,1000,1300,Tue4th,1000,1300,Wed4th,1000,1300,Thu4th,1000,1300,,,,,,,,,
Immaculate Heart of Mary-Hope Net,4954 Santa Monica Boulevard,,Los Angeles,CA,90029,(323)660-0034,34.0905787,-118.2976765,Food Pantry,,,Mon,1100,1200,,,,,,,,,,,,,,,,,,
Immanuel Presbyterian Church-Hope Net,3300 Wilshire Blvd,,Los Angeles,CA,90010,(213)389-3191,34.0614542,-118.294485,Food Pantry,,,Sat,930,1130,,,,,,,,,,,,,,,,,,
Imperial Church of Christ,11316 S. San Pedro Street,,Los Angeles,CA,90061,(323)756-0360,33.9315622,-118.2691607,Food Pantry,,,Sat,700,830,,,,,,,,,,,,,,,,,,
Inglewood Church of Christ,323 S. Eucalyptus Ave.,,Inglewood,CA,90301,(310)674-7690,33.9595172,-118.3598898,Food Pantry,,,Fri3rd,1000,1200,,,,,,,,,,,,,,,,,,
Inglewood Southside Christian Church,3947 W. 104th Street,,Inglewood,CA,90303,(310)677-0446,33.9421196,-118.3433323,Food Pantry,,,Sat2nd,1000,1300,,,,,,,,,,,,,,,,,,
Inland Valley Hope Partners,209 W. Pearl Street,,Pomona,CA,91768,(909)622-7278,34.0649162,-117.7523806,Food Pantry,,,Mon,1400,1600,Wed,1400,1600,Fri,1400,1600,,,,,,,,,,,,
Interfaith Food Center,11819 Burke Street,,Sante Fe Springs,CA,90670,(562)903-1478,33.962938,-118.0650479,Food Pantry,,,Mon,830,1200,Tue,1630,1900,Tue,830,1200,Thu,830,1200,Fri,830,1200,,,,,,
International Families Association,"1741 Gardena Avenue, Suite E",,Glendale,CA,91204,(818)770-0779,34.1227497,-118.2575547,Food Pantry,,,Mon,1500,1800,,,,,,,,,,,,,,,,,,
Islamic Center of Southern CA-Hope Net,434 S. Vermont Boulevard,,Los Angeles,CA,90020,(213)382-9200,34.0664143,-118.291309,Food Pantry,,,Sat,1100,1200,,,,,,,,,,,,,,,,,,
Jesus Christ the Reedemer Center,755 E. 223rd Street,,Carson,CA,90745,(424)264-9875,33.8244169,-118.2620021,Food Pantry,,,Sat,1100,1130,,,,,,,,,,,,,,,,,,
Jesus is the Answer Apostolic Church,"25100 S. Normandie Ave, Suite A",,Harbor City,CA,90710,(310)667-0147,33.7965619,-118.2966541,Food Pantry,,,Wed3rd,1200,1600,,,,,,,,,,,,,,,,,,
JFS/SOVA Community Food & Resource Program Valley,16439 Vanowen Street,,Van Nuys,CA,91406,(818)988-7682,34.1942489,-118.491725,Food Pantry,https//www.jfsla.org/page.aspx?pid=300,,Sun,900,1200,Mon,1000,1330,Tue,1000,1330,Wed,1000,1330,Thu,1000,1330,,,,,,
JFS/SOVA Community Food & Resource Program West,8846 W Pico Blvd,,Los Angeles,CA,91406,(818)988-7682,34.1942489,-118.491725,Food Pantry,https//www.jfsla.org/page.aspx?pid=300,,Sun,900,1200,Mon,1000,1330,Tue,1000,1330,Wed,1000,1330,Thu,1000,1330,,,,,,
Khalsa Care Foundation,9989 Laurel Canyon Blvd.,,Pacoima,CA,91331,(805)402-5050,34.2511562,-118.4252181,Food Pantry,,,Fri,1800,1900,,,,,,,,,,,,,,,,,,
Koreatown Multipurpose Senior,2147 W. Washington Boulevard,,Los Angeles,CA,90018,(213)247-cell,34.0399577,-118.3075101,Food Pantry,,,Tue,830,1130,,,,,,,,,,,,,,,,,,
La Puente Spanish S.D.A. Church,18047 Valley Boulevard,,La Puente,CA,91744,(626)912-9408,34.0065174,-117.9088863,Food Pantry,,,Tue,2030,2100,,,,,,,,,,,,,,,,,,
La Voz Sylmar S.D.A. Church,13550 Herron Street,,Sylmar,CA,91342,(951)318-4420,34.313473,-118.427859,Food Pantry,,,Thu,1830,2030,,,,,,,,,,,,,,,,,,
Lady Bug Ministry,14725 Gramercy Place,,Gardena,CA,90247,((32)) 7-3748,33.897334,-118.314122,Food Pantry,,,TueLast,900,1000,,,,,,,,,,,,,,,,,,
Lawrence Ministries,12441 E. Farlow Street,,Hawaiian Gardens,CA,90716,(310)764-4104,33.832877,-118.066341,Food Pantry,,,Sat3rd,1000,1400,,,,,,,,,,,,,,,,,,
Life Deliverance Ministries,9120 S. Western Avenue,,Los Angeles,CA,90044,(562)607-8780,33.9538569,-118.3087286,Food Pantry,,,Sat,800,1100,,,,,,,,,,,,,,,,,,
Lifeline Community Services & Economic Development,2556 N. Lake Avenue,,Altadena,CA,91001,(626)797-3585,34.1896939,-118.1310706,Food Pantry,,,Wed2nd,1200,1400,Wed4th,1200,1400,,,,,,,,,,,,,,,
Lincoln Avenue Baptist Church,1180 North Lincoln Avenue,,Pasadena,CA,91103,(626)798-9163,34.1664331,-118.1592865,Food Pantry,,,Wed3rd,1000,1200,,,,,,,,,,,,,,,,,,
Living Hope Community Partnership,18500 Farjardo Street,,Rowland Heights,CA,91748,(714)202-7333,33.979196,-117.902383,Food Pantry,,,Sat1st,900,1100,Sat3rd,900,1100,,,,,,,,,,,,,,,
Living Springs Foursquare Church,17134 E. Ave O,,Palmdale,CA,93591,(661)264-1717,34.616048,-117.824428,Food Pantry,,,Wed1st,800,1000,Wed3rd,800,1000,Wed4th,800,1000,,,,,,,,,,,,
Living Truth Christian Fellowship,5873 S. Normandie Avenue,,Los Angeles,CA,90044,(323)290-3909,33.9877081,-118.3002282,Food Pantry,,,Tue3rd,1130,1330,Tue4th,1130,1330,,,,,,,,,,,,,,,
Loaves & Fishes-Canoga Park,21600 Hart Street,,Canoga Park,CA,91303,(818)340-2050,34.1973704,-118.6002723,Food Pantry,,,Mon,900,1200,Wed,900,1200,Fri,900,1200,,,,,,,,,,,,
Loaves & Fishes-Glendale,4322 San Fernando Road,,Glendale,CA,91204,(818)409-3080,34.1316156,-118.261043,Food Pantry,,,Mon,1000,1530,Tue,1000,1530,Wed,1000,1530,Fri,1000,1530,,,,,,,,,
Loaves & Fishes-Van Nuys,14640 Keswick,,Van Nuys,CA,91405,(818)997-0943,34.2100101,-118.4523896,Food Pantry,,,Mon,1000,130,Wed,1000,1330,Fri,1000,1330,,,,,,,,,,,,
Los Angeles Boys & Girls Club,2635 Pasadena Avenue,,Los Angeles,CA,90031,(323)221-9111,34.0779999,-118.215668,Food Pantry,,,Thu,1700,1800,,,,,,,,,,,,,,,,,,
Los Angeles Central City S.D.A. Church,650 W. 21st Street,,Los Angeles,CA,90007,((21)) 7-9646,34.0327067,-118.2752257,Food Pantry,,,Tue3rd,1200,1400,,,,,,,,,,,,,,,,,,
Los Angeles First Church of the Nazarene-Hope Net,3401 W. 3rd Street,,Los Angeles,CA,90020,(213)385-6345,34.0693363,-118.2898538,Food Pantry,,,Fri,1600,1800,,,,,,,,,,,,,,,,,,
Los Angeles Housing Partnership,2614 W. 7th Street,,Los Angeles,CA,90057,(213)629-9172,34.0586006,-118.2826812,Food Pantry,,,FriLast,1600,1700,,,,,,,,,,,,,,,,,,
Love & Faith Christian Center,8505 S. Western Avenue,,Los Angeles,CA,90047,(323)753-8300,33.9606268,-118.3093646,Food Pantry,,,Mon,830,1000,Fri,830,1000,,,,,,,,,,,,,,,
Loveship Community Outreach,836 E. Avenue I,,Lancaster,CA,93535,(661)729-4106,34.7039815,-118.1135045,Food Pantry,,,Sat2nd,1430,1630,,,,,,,,,,,,,,,,,,
Lutheran Social Services of Southern California,21430 Strathern Street,,Canoga Park,CA,91304,(818)901-9480,34.214903,-118.5986508,Food Pantry,,,Tue,1000,1445,Wed,1000,1445,Thu,1000,1445,Fri,1000,1445,,,,,,,,,
Lynwood All People's First Assembly,4330 Martin Luther King Jr. Boulevard,,Lynwood,CA,90262,(310)639-2010,33.9211561,-118.1884331,Food Pantry,,,Fri,2030,2130,,,,,,,,,,,,,,,,,,
Lynwood United Methodist Church,4207 Carlin Avenue,,Lynwood,CA,90262,(310)638-5163,33.91217,-118.1966584,Food Pantry,,,Wed,900,1200,,,,,,,,,,,,,,,,,,
Maranatha S.D.A. Community Center,3569 W. Manchester Blvd.,,Inglewood,CA,90305,(323)971-3511,33.9602274,-118.3348393,Food Pantry,,,Sat2nd,1400,1500,Sat4th,1400,1500,,,,,,,,,,,,,,,
Meet Each Need with Dignity,10641 San Fernando Road,,Pacoima,CA,91331,(818)686-7334,34.2630434,-118.4195782,Food Pantry,,,Tue,800,1400,Thu,800,1400,Fri,800,1400,Sat,900,1200,,,,,,,,,
Metropolitan Community Churchof L.A.-Hope Net,4607 Prospect Avenue,,Los Angeles,CA,90027,(323)669-3436,34.102074,-118.2897866,Food Pantry,,,Sat,900,1100,,,,,,,,,,,,,,,,,,
Mexican-American Opportunity Foundation,401 N. Garfield Ave,,Montebello,CA,90640,(323)890-9600,34.0192364,-118.1337064,Food Pantry,,,Thu,730,1200,,,,,,,,,,,,,,,,,,
Mision Cristana Monte de Sion,6315 Eastern Avenue,,Bell Gardens,CA,90201,(562)544-4264,33.9768389,-118.1637179,Food Pantry,,,Tue,2030,2130,,,,,,,,,,,,,,,,,,
Missionaries of Charity,10950 California Avenue,,Lynwood,CA,90262,(310)635-3264,33.9334265,-118.2080294,Food Pantry,,,Fri,1530,1700,,,,,,,,,,,,,,,,,,
Montebello Watch,1033 South Maple Avenue,,Montebello,CA,90640,(626)810-5833,33.9953919,-118.124677,Food Pantry,,,Tue,1500,1800,Wed,1500,1800,Thu,1500,1800,,,,,,,,,,,,
Mt. Sinai C.O.G.I.C.,936 W. Ninth Street,,Pomona,CA,91766,(909)868-0224,34.0510185,-117.7596455,Food Pantry,,,Sat3rd,1200,1400,,,,,,,,,,,,,,,,,,
My Friends House,3533 West 58th Place,,Los Angeles,CA,90043,(323)292-4939,33.988368,-118.334148,Food Pantry,,,Wed,900,1100,,,,,,,,,,,,,,,,,,
New Covenant Tabernacle of Antelope Valley,38626 9th Street East,,Palmdale,CA,93550,(661)965-4588,34.585386,-118.114029,Food Pantry,,,Sat2nd,900,1200,Sat4th,900,1200,,,,,,,,,,,,,,,
New Jerusalem C.O.G.I.C.,420 S. Sante Fe Avenue,,Compton,CA,90221,(310)639-1013,33.892894,-118.215494,Food Pantry,,,Fri1st,1000,1130,Fri3rd,1000,1130,,,,,,,,,,,,,,,
New Life Community Church,5009 W. 119th Street,,Hawthorne,CA,90250,(310)676-6859,33.9258706,-118.3660822,Food Pantry,,,Sun,1200,1330,Wed,1400,1530,,,,,,,,,,,,,,,
New Region For Christ,520 S. La Brea Ave,,Inglewood,CA,90301,(424)227-8657,33.9569988,-118.3527848,Food Pantry,,,Sat,1130,1300,,,,,,,,,,,,,,,,,,
Normandie Community Development Food Pantry,3801 South Normandie Avenue,,Los Angeles,CA,90037,(323)731-7787,34.0170589,-118.3003684,Food Pantry,,,Sat4th,1145,1300,,,,,,,,,,,,,,,,,,
North Hollywood Interfaith Food Pantry,4390 Colfax Avenue,,North Hollywood,CA,91604,(818)760-3575,34.1501988,-118.3872632,Food Pantry,http//www.nhifp.org/,,Mon,900,1300,Fri,900,1300,,,,,,,,,,,,,,,
Norwalk Church of the Nazarene,15000 Studebaker Road,,Norwalk,CA,90650,(562)863-0911,33.8944743,-118.0995643,Food Pantry,,,Wed,1700,1900,,,,,,,,,,,,,,,,,,
Nuevo Amanecer,1035 N. Avalon Boulevard,,Wilmington,CA,90744,(310)847-6937,33.784017,-118.263126,Food Pantry,,,Wed1st,1800,1930,Wed3rd,1800,1930,,,,,,,,,,,,,,,
Our Lady of Guadalupe Church,4509 Mercury Avenue,,Los Angeles,CA,90032,(323)225-4201,34.0861589,-118.1901472,Food Pantry,,,Thu,800,900,,,,,,,,,,,,,,,,,,
Our Lady of Talpa Church,427 S. Evergreen Ave.,,Los Angeles,CA,90033,(323)268-7731,34.036566,-118.205021,Food Pantry,,,Tue3rd,1300,1500,,,,,,,,,,,,,,,,,,
Our Lady of Victory Conference,410 E. Palmer Street,,Compton,CA,90221,(310)631-5100,33.8983065,-118.2185064,Food Pantry,,,Fri3rd,830,1000,SatLast,830,1000,,,,,,,,,,,,,,,
Our Lady Queen of Angels Catholic Church,535 N. Main Street,,Los Angeles,CA,90012,(213)629-3101,34.05707,-118.239577,Food Pantry,,,Fri,800,1100,,,,,,,,,,,,,,,,,,
Our Saviour Center,4368 Santa Anita Avenue,,EL Monte,CA,91731,(626)579-2190,34.0853655,-118.0293332,Food Pantry,,,Tue,1000,1300,Thu,1000,1300,,,,,,,,,,,,,,,
Palmdale Community Foundation-S.A.V.E.S.,1002 East Avenue Q12,,Palmdale,CA,93550,(661)267-5191,34.5755254,-118.1114457,Food Pantry,,,Mon,800,1700,Tue,800,1700,Wed,800,1700,Thu,800,1700,,,,,,,,,
Palmdale Foursquare Church,38325 10th Street East,,Palmdale,CA,93550,(661)947-2938,34.5784049,-118.1120551,Food Pantry,,,Tue4th,1000,1200,,,,,,,,,,,,,,,,,,
Palmdale S.D.A. Church,1758 East Avenue R,,Palmdale,CA,93550,(661)947-8496,34.5722471,-118.0963705,Food Pantry,,,Wed1st,1000,1200,Wed3rd,1000,1200,,,,,,,,,,,,,,,
Paramount Care Foundation,8303 Alondra Boulevard,,Paramount,CA,90723,(562)531-6820,33.889572,-118.154455,Food Pantry,,,Fri1st,900,1000,Fri2nd,900,1000,Fri3rd,900,1000,Fri4th,900,1000,,,,,,,,,
Peace Lutheran Church,11690 Fenton Avenue,,Lake View Terrace,CA,91342,(818)899-3950,34.2823569,-118.3916075,Food Pantry,,,Sat2nd,900,1100,Sat3rd,900,1100,,,,,,,,,,,,,,,
Pentecostal Church of God,2829 1/4 Fletcher Drive,,Los Angeles,CA,90039,(323)842-7888,34.1123662,-118.2494937,Food Pantry,,,Wed,1500,1700,,,,,,,,,,,,,,,,,,
People for Community Improvement,13008 South Figueroa,,Los Angeles,CA,90061,(310)538-4013,33.913935,-118.282263,Food Pantry,,,Fri2nd,1100,1330,Fri4th,1100,1500,,,,,,,,,,,,,,,
Pico Rivera Iglesia Crece,14832 Valley Blvd.,,La Puente,CA,91744,(562)895-4587,34.0317917,-117.970394,Food Pantry,,,Sat,830,1030,,,,,,,,,,,,,,,,,,
Pilgrim's Hope Baptist Church,7016 S. Compton Avenue,,Los Angeles,CA,90001,(323)581-7672,33.9759009,-118.2473905,Food Pantry,,,Wed2nd,900,1100,,,,,,,,,,,,,,,,,,
Pilipino Worker Center of Southern California,153 Glendale Boulevard,,Los Angeles,CA,90026,(213)250-4353,34.0634518,-118.2602462,Food Pantry,,,Fri,1800,1900,,,,,,,,,,,,,,,,,,
Presentation of Mary Catholic,6406 Parmelee Avenue,,Los Angeles,CA,90001,(323)585-0570,33.9813266,-118.249548,Food Pantry,,,Sat3rd,730,830,,,,,,,,,,,,,,,,,,
Prince of Peace Coalition,5700 Rudnick Avenue,,Woodland Hills,CA,91367,(818)346-5554,34.1732527,-118.6120677,Food Pantry,,,Mon,1000,1500,Tue,1000,1500,Wed,1000,1500,Thu,1000,1500,Fri,1000,1200,,,,,,
Prince of Peace/Family Rescue,22103 Van Owen Street,,Canoga Park,CA,91303,(818)887-9386,34.1940869,-118.6085261,Food Pantry,,,Mon,900,1300,Tue,900,1300,Wed,900,1300,Thu,900,1300,Fri,900,1300,,,,,,
Principe de Paz,6706 Vinevale Avenue,,Bell,CA,90201,(323)560-3780,33.97426,-118.1809218,Food Pantry,,,Thu2nd,1100,1300,Thu4th,1100,1300,,,,,,,,,,,,,,,
"Project 2911, A Community Development Corporation",418 N. Second Avenue,,Covina,CA,91723,(626)373-2976,34.0897447,-117.8874932,Food Pantry,,,Tue,1400,1730,Wed,1400,1600,Thu,1400,1730,Fri,1400,1600,,,,,,,,,
RCCG Victory House of California,6640 Van Nuys Blvd.,,Van Nuys,CA,91411,(323)385-4442,34.191872,-118.4483031,Food Pantry,,,Sun,1230,1400,Tue,1030,1230,,,,,,,,,,,,,,,
Redeemer Lutheran Outreach,20025 Chase Street,,Winnetka,CA,91306,(818)341-1629,34.2248564,-118.5698672,Food Pantry,,,Wed,1000,1430,Thu,1000,1430,Fri,1000,1430,,,,,,,,,,,,
Redeemer Missionary Baptist Church,1631 W. Adams Boulevard,,Los Angeles,CA,90007,(323)732-4124,34.0331289,-118.2983987,Food Pantry,,,Sat,1000,1300,,,,,,,,,,,,,,,,,,
Rehoboth Courage Church,425 E. Compton Boulevard,,Compton,CA,90220,(310)663-0789,33.8962309,-118.2185024,Food Pantry,,,Sat,1100,1200,,,,,,,,,,,,,,,,,,
Resting Place Church,10803 Cantara St.,,Sun Valley,CA,91352,(818)588-1024,34.219583,-118.365132,Food Pantry,,,Wed,1000,1300,,,,,,,,,,,,,,,,,,
Rock Solid Christian Assembly,867 W. 10th Street,,San Pedro,CA,90731,(310)832-2788,33.734896,-118.296113,Food Pantry,,,Sat2nd,1030,1130,Sat4th,1030,1130,,,,,,,,,,,,,,,
Rosewood Church,10115 E. Rose Street,,Bellflower,CA,90706,(562)925-1443,33.8705097,-118.1180147,Food Pantry,,,Fri3rd,1500,1600,,,,,,,,,,,,,,,,,,
Rosewood Revitalization Group,4101 Rosewood Avenue,,Los Angeles,CA,90004,(323)662-1194,34.0793451,-118.2932645,Food Pantry,,,Fri3rd,1530,1630,,,,,,,,,,,,,,,,,,
S.A. Friendly Village Mobile Park,1301 east Ave. I,,Lancaster,CA,93535,(661)946-6267,34.7088457,-118.1055901,Food Pantry,,,Mon4th,900,1100,,,,,,,,,,,,,,,,,,
S.A. Mayflower Gardens,6570 West Avenue L-12,,Quartz Hill,CA,93536,(661)943-3228,34.6638843,-118.2231208,Food Pantry,,,Tue2nd,900,1100,,,,,,,,,,,,,,,,,,
S.A. Mountain View Mobile,3255 E. Ave R,,Palmdale,CA,93550,(661)947-4700,34.5732114,-118.0702161,Food Pantry,,,Tue2nd,1200,1400,,,,,,,,,,,,,,,,,,
S.A. Pearblossom United Methodist,34143 126th Street East,,Pearblossom,CA,93553,(661)839-6123,34.505958,-117.905785,Food Pantry,,,Mon3rd,900,1100,,,,,,,,,,,,,,,,,,
S.A. Penney Lynn Wind,8300 Pearblossom Hwy,,Littlerock,CA,93543,(661)944-6100,34.5208321,-117.9811848,Food Pantry,,,Mon3rd,1200,1400,,,,,,,,,,,,,,,,,,
S.V.P. All Souls Conference,1500 W. Main Street,,Alhambra,CA,91803,(626)281-0466,34.0911399,-118.1397892,Food Pantry,,,Thu3rd,1530,1730,,,,,,,,,,,,,,,,,,
Sacred Heart Church,2210 Sichel Street,,Los Angeles,CA,90031,(323)221-3179,34.0703284,-118.2126261,Food Pantry,,,Thu1st,1000,1230,Thu3rd,1000,1230,,,,,,,,,,,,,,,
Saint Mark Food Pantry,8305 S. Gramercy Place,,Los Angeles,CA,90047,(323)753-3535,33.9632286,-118.3136076,Food Pantry,,,Wed,1100,1130,Wed3rd,1100,1130,,,,,,,,,,,,,,,
Salvation Army Redondo Beach,125 W. Beryl Street,,Redondo Beach,CA,90277,(310)318-2827,33.8469008,-118.3925479,Food Pantry,,,Mon,900,1100,Tue,900,1100,Wed,900,1100,Thu,900,1100,Fri,900,1100,,,,,,
Salvation Army Santa Clarita Valley Corps,22935 Lyons Avenue,,Newhall,CA,91321,(661)799-7486,34.3805004,-118.5341693,Food Pantry,,,Mon,900,1500,Wed,900,1500,Thu,900,1500,Fri,900,1500,,,,,,,,,
Salvation Army Southeast Comm. Corp,2965 E. Gage Avenue,,Huntington Park,CA,90255,(323)587-4221,33.9814284,-118.2165004,Food Pantry,,,Thu,1300,1500,,,,,,,,,,,,,,,,,,
Salvation Army- East L.A.,140 N. Eastman Avenue,,Los Angeles,CA,90063,(323)263-7577,34.036961,-118.1854747,Food Pantry,,,Mon,900,1600,Tue,900,1600,Wed,900,1600,Thu,900,1600,Fri,900,1600,,,,,,
Salvation Army- L.A. Central Corp,906 S. Francisco Street,,Los Angeles,CA,90015,(213)896-9178,34.0466096,-118.2646275,Food Pantry,,,Mon,900,1600,Tue,900,1600,Wed,1200,1600,Thu,1200,1600,,,,,,,,,
Salvation Army- Lancaster Corp,44517 Sierra Highway,,Lancaster,CA,93534,(661)948-3418,34.6914947,-118.1362728,Food Pantry,,,Mon4th,1200,1600,Wed,900,1030,,,,,,,,,,,,,,,
Salvation Army- Santa Fe Springs,12000 E. Washington Boulevard,,Whittier,CA,90606,(562)696-9562,33.9676128,-118.0553469,Food Pantry,,,Tue,1300,1600,Wed,1300,1600,Thu,1300,1600,Fri,1300,1600,,,,,,,,,
Salvation Army- South L.A.,7651 South Central Avenue,,Los Angeles,CA,90001,(323)586-0759,33.9698411,-118.2567313,Food Pantry,,,Wed,1100,1300,,,,,,,,,,,,,,,,,,
Salvation Army- Whittier Corp.,7926 Pickering Avenue,,Whittier,CA,90602,(562)698-8348,33.9691227,-118.0417514,Food Pantry,,,Mon,1300,1445,Tue,1300,1445,Wed,1300,1445,Thu,1300,1445,Fri,1300,1445,,,,,,
